Relocated Date,Make,Color,Plate,State,Relocated From Address Number,Relocated From Street Direction,Relocated From Street Name,Relocated From Suffix,Relocated To Address Number,Relocated To Direction,Relocated To Street Name,Relocated To Suffix,Relocated Reason,Service Request Number
06/12/2015 12:00:00 AM,,,,,1012.0,N,CALIFORNIA,AVE,,,,,,15-02661041
06/12/2015 12:00:00 AM,,,,,1045.0,N,CALIFORNIA,AVE,,,,,,15-02661043
06/12/2015 12:00:00 AM,,,,,1045.0,N,CALIFORNIA,AVE,,,,,,15-02661042
06/12/2015 12:00:00 AM,,,,,1123.0,N,CALIFORNIA,AVE,,,CALIFORNIA,,,15-02661045
06/12/2015 12:00:00 AM,,,,,5535.0,N,CHRISTIANA,AVE,,,,,,15-02664530
06/12/2015 12:00:00 AM,,,,,8500.0,W,GREGORY,ST,,,,,,15-02663802
06/12/2015 12:00:00 AM,,,,,4459.0,N,CLARENDON,AVE,,,,,,15-02666250
06/12/2015 12:00:00 AM,,,,,1111.0,N,CALIFORNIA,AVE,,,,,,15-02661044
06/12/2015 12:00:00 AM,,,,,4302.0,W,ALTGELD,ST,,,,,,15-02659322
06/11/2015 08:55:00 PM,Toyota,Blue,18575X,Illinois,500.0,N,LAKE SHORE,DR,349,E,LOWER WACKER,,Accident,15-02652494
06/11/2015 08:30:00 PM,Toyota,Black,E208023,Illinois,500.0,N,LAKE SHORE,DR,,,,,Accident,15-02652422
06/11/2015 08:18:00 PM,Ford,Red,V763456,Illinois,6700.0,S,COTTAGE GROVE,AVE,740,E,67TH STREET,,Accident,15-02650951
06/11/2015 07:25:00 PM,Nissan,Maroon,Y747702,Illinois,5545.0,,NORTH AVENUE,,1510,N,LUNA,,Other,15-02631792
06/11/2015 06:30:00 PM,Hyundai,Gray,P476156,Illinois,1300.0,S,COLUMBUS,DR,1628,S,WABASH,,Accident,15-02649918
06/11/2015 01:20:00 PM,Chrysler,White,V770393,Illinois,1000.0,S,LAKE SHORE,DR,400,E,RANDOLPH,,Broken Down,15-02640685
06/11/2015 01:10:00 PM,Ford,Black,7129407,Illinois,4706.0,S,KILPATRICK,AVE,4634,W,46TH STREET,,CDOT Street Resurfacing,15-02639968
06/11/2015 01:00:00 PM,Toyota,Red,S71 9849,Illinois,232.0,W,WILLOW,ST,333,E,WACKER,,Northernly Island,15-02639941
06/11/2015 12:20:00 PM,Volvo,Red,S957897,Illinois,1500.0,N,NB OUTER LAKE SHORE,DR,1600,N,LAKESHORE DR,,Broken Down,15-02639742
06/11/2015 12:15:00 PM,Kia Motors Corp,Silver,R440905,Illinois,2348.0,N,GENEVA,TER,2309,N,GENEVA,,Water Management,15-02639271
06/11/2015 11:50:00 AM,Chevrolet,Gold,7637322,Illinois,2400.0,N,SB OUTER LAKE SHORE,DR,1660,N,CLARK,,Broken Down,15-02639270
06/11/2015 11:45:00 AM,Toyota,Gray,X807769,Illinois,1602.0,W,WALLEN,AVE,6641,N,ASHLAND,,Water Management,15-02638585
06/11/2015 11:27:00 AM,Nissan,Red,E506991,Illinois,2026.0,W,TAYLOR,ST,1021,S,WESTERN,,CDOT Street Resurfacing,15-02638575
06/11/2015 11:21:00 AM,Chrysler,White,8075821,Illinois,2024.0,W,TAYLOR,ST,930,S,OAKLEY,,CDOT Street Resurfacing,15-02638457
06/11/2015 11:15:00 AM,Ford,Silver,N834872,Illinois,2346.0,N,GENEVA,TER,3727,N,RECREATION,,Water Management,15-02639269
06/11/2015 11:10:00 AM,Nissan,White,N933681,Illinois,5231.0,S,WOODLAWN,AVE,1120,E,50TH STREET,,Water Management,15-02637552
06/11/2015 11:06:00 AM,Chevrolet,Gray,E433001,Illinois,3064.0,N,CLYBOURN,AVE,3056,N,CLYBOURN,,Other,15-02637698
06/11/2015 11:03:00 AM,Honda,Black,5NUS899,California,1116.0,N,CHRISTIANA,AVE,1048,N,CHRISTINA,,CDOT 50/50 Sidewalk,15-02637715
06/11/2015 10:55:00 AM,Dodge,Blue,9380270,Illinois,1543.0,N,LECLAIRE,AVE,1546,N,LECLAIRE,,Other,15-02637982
06/11/2015 10:47:00 AM,,,P722150,Illinois,151.0,W,122ND,ST,157,W,122ND ST,,CDOT Street Resurfacing,15-02637340
06/11/2015 10:40:00 AM,Buick,Silver,161UAW,Indiana,1341.0,W,ELMDALE,AVE,4780,N,SIMONDS DR,,CDOT Street Resurfacing,15-02637450
06/11/2015 10:40:00 AM,General Motors Corp.,White,M159989,Illinois,200.0,S,LAKE SHORE,DR,3900,S,LAKESHORE DR,,Broken Down,15-02637564
06/11/2015 10:40:00 AM,Honda,Gray,JFT700,Illinois,1950.0,N,ELSTON,AVE,1947,N,ELSTON,,Forestry,15-02638627
06/11/2015 10:37:00 AM,Nissan,Red,8458464,Illinois,2925.0,S,ARCH,ST,3032,S,LYMAN,,Peoples Gas,15-02637525
